 
****************************************
Report : area
Design : Baseline_4KB
Version: O-2018.06-SP5-5
Date   : Tue Feb  3 05:06:24 2026
****************************************

Library(s) Used:

    tcbn22ullbwp30p140tt0p9v25c (File: /home21/longyang/common/share/tsmc22/tcbn22ullbwp30p140_110b/tcbn22ullbwp30p140_110b/AN61001_20201222/TSMCHOME/digital/Front_End/timing_power_noise/NLDM/tcbn22ullbwp30p140_110b/tcbn22ullbwp30p140tt0p9v25c.db)

Number of ports:                       732677
Number of nets:                       5300530
Number of cells:                      4620723
Number of combinational cells:        3799702
Number of sequential cells:            804365
Number of macros/black boxes:               0
Number of buf/inv:                     379754
Number of references:                    3237

Combinational area:            2464309.603857
Buf/Inv area:                   101492.748947
Noncombinational area:         1573477.267209
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:               4037786.871065
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area                Local cell area
                                  ---------------------  ---------------------------------- 
Hierarchical cell                 Absolute      Percent  Combi-        Noncombi-     Black-
                                  Total         Total    national      national      boxes   Design
--------------------------------  ------------  -------  ------------  ------------  ------  ------------------------------------------------------------------------
Baseline_4KB                      4037786.8711    100.0      697.7880        0.0000  0.0000  Baseline_4KB
CFU_102_ctrl_1                       1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_20
CFU_102_ctrl_1/add_257                 11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_20_DW01_inc_0
CFU_102_ctrl_1/min_least_102_inst1    1732.7520     0.0     1732.7520        0.0000  0.0000  min_least_102_20
CFU_102_ctrl_10                      1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_11
CFU_102_ctrl_10/add_257                11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_11_DW01_inc_0
CFU_102_ctrl_10/min_least_102_inst1    1732.7520     0.0    1732.7520        0.0000  0.0000  min_least_102_11
CFU_102_ctrl_11                      1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_10
CFU_102_ctrl_11/add_257                11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_10_DW01_inc_0
CFU_102_ctrl_11/min_least_102_inst1    1732.7520     0.0    1732.7520        0.0000  0.0000  min_least_102_10
CFU_102_ctrl_12                      1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_9
CFU_102_ctrl_12/add_257                11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_9_DW01_inc_0
CFU_102_ctrl_12/min_least_102_inst1    1732.7520     0.0    1732.7520        0.0000  0.0000  min_least_102_9
CFU_102_ctrl_13                      1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_8
CFU_102_ctrl_13/add_257                11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_8_DW01_inc_0
CFU_102_ctrl_13/min_least_102_inst1    1732.7520     0.0    1732.7520        0.0000  0.0000  min_least_102_8
CFU_102_ctrl_14                      1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_7
CFU_102_ctrl_14/add_257                11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_7_DW01_inc_0
CFU_102_ctrl_14/min_least_102_inst1    1732.7520     0.0    1732.7520        0.0000  0.0000  min_least_102_7
CFU_102_ctrl_15                      1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_6
CFU_102_ctrl_15/add_257                11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_6_DW01_inc_0
CFU_102_ctrl_15/min_least_102_inst1    1732.7520     0.0    1732.7520        0.0000  0.0000  min_least_102_6
CFU_102_ctrl_16                      1779.6240      0.0       10.8360       24.9480  0.0000  CFU_102_ctrl_5
CFU_102_ctrl_16/add_257                11.0880      0.0       11.0880        0.0000  0.0000  CFU_102_ctrl_5_DW01_inc_0
